dataset,outer_fold,model,selected_params,inner_macro_f1,inner_accuracy,outer_accuracy,outer_macro_f1,correct,total,features,selection_seconds,fit_seconds,prediction_seconds,tree_depth,tree_leaves,tree_nodes
Anneal,1,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.9626302912609654,0.9888521731148745,1.0,1.0,90,90,66,0.1600612660004117,0.001465830999222817,0.0003492400010145502,10,20,39
Anneal,1,Logistic,"{""C"": 10.0}",0.9593821077758818,0.98761760521364,1.0,1.0,90,90,66,0.16886375099966244,0.012121031000788207,0.00011491099940030836,,,
Anneal,1,BernoulliNB,"{""alpha"": 0.01}",0.8851719734614475,0.9566707971912433,0.9666666666666667,0.9450941221667307,87,90,66,0.025724537999849417,0.0008351329997822177,0.0002182749994972255,,,
Anneal,1,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9580915273673156,0.9863830373124053,1.0,1.0,90,90,66,2.4752463569984684,0.1678911290000542,0.023074664000887424,,,
Anneal,2,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.8412329741455955,0.9777318830602598,0.9888888888888889,0.9890163364615919,89,90,65,0.15997861200048646,0.001279543999771704,0.00012919300024805125,10,20,39
Anneal,2,Logistic,"{""C"": 10.0}",0.913158934302046,0.9864059846711642,0.9888888888888889,0.9890163364615919,89,90,65,0.13778572000046552,0.009819886001423583,9.836599929258227e-05,,,
Anneal,2,BernoulliNB,"{""alpha"": 0.01}",0.8697802949797393,0.9616320161549406,0.9888888888888889,0.9890163364615919,89,90,65,0.0321270780004852,0.0006399529993359465,0.00017984799887926783,,,
Anneal,2,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.8880874326236898,0.982693102023957,0.9777777777777777,0.9771014492753622,88,90,65,2.46838378800021,0.17878370099970198,0.024006581001231098,,,
Anneal,3,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.9161385833242416,0.9851530588829226,1.0,0.8,90,90,66,0.1633475870003167,0.0013477459997375263,0.00013071499961370137,10,20,39
Anneal,3,Logistic,"{""C"": 100.0}",0.914357617279287,0.9863876267841571,0.9888888888888889,0.7763179237631792,89,90,66,0.21049184599905857,0.014033597999514313,0.00010266299977956805,,,
Anneal,3,BernoulliNB,"{""alpha"": 1.0}",0.8661983392074656,0.9554408187617606,0.9555555555555556,0.7433239962651726,86,90,66,0.03506620200096222,0.0007450889988831477,0.00024590599969087634,,,
Anneal,3,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.913248137912993,0.985143879939419,0.9777777777777777,0.7643529112636664,88,90,66,2.4668524539993086,0.1666283940012363,0.024120630998368142,,,
Anneal,4,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.8751431745278145,0.9839139015099362,1.0,0.8,90,90,66,0.15200565499981167,0.0016074919985840097,0.00016036899978644215,10,20,39
Anneal,4,Logistic,"{""C"": 100.0}",0.9027228432284494,0.9863876267841571,1.0,0.8,90,90,66,0.1667611670000042,0.011239437999392976,9.611300083633978e-05,,,
Anneal,4,BernoulliNB,"{""alpha"": 0.1}",0.8587614335028242,0.9591674698242233,0.9666666666666667,0.7670490093847758,87,90,66,0.022331898999254918,0.0006312890000117477,0.00017502999980933964,,,
Anneal,4,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.8925449102526254,0.978952682546239,0.9888888888888889,0.788034835289663,89,90,66,2.753171595000822,0.1829812989999482,0.013233136000053491,,,
Anneal,5,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.9359844478373988,0.9851530588829225,0.9888888888888889,0.9889947089947089,89,90,66,0.15449822499977017,0.0013114819994370919,0.00012402500033203978,9,20,39
Anneal,5,Logistic,"{""C"": 1.0}",0.9213308906750433,0.9715452751388316,0.9777777777777777,0.7875350140056023,88,90,66,0.18348105299992312,0.015163068999754614,0.00012614800107257906,,,
Anneal,5,BernoulliNB,"{""alpha"": 1.0}",0.881378240258695,0.9455367387213731,0.9555555555555556,0.7655462184873949,86,90,66,0.03459010400001716,0.0007330009993893327,0.0001989859993045684,,,
Anneal,5,RandomForest,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.9270432741950255,0.9777410620037633,0.9888888888888889,0.9889947089947089,89,90,66,2.406926690999171,0.17010023199873103,0.013340155001060339,,,
Anneal,6,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.9617729577214199,0.9888567625866264,0.9888888888888889,0.9889947089947089,89,90,64,0.1549357460007741,0.0014114410005277023,0.00013330799993127584,10,20,39
Anneal,6,Logistic,"{""C"": 10.0}",0.9570158784779818,0.9851392904676671,0.9777777777777777,0.9589635854341736,88,90,64,0.1774257100005343,0.009780817999853753,0.00014334300067275763,,,
Anneal,6,BernoulliNB,"{""alpha"": 0.01}",0.9179246891764897,0.974005231997797,0.9555555555555556,0.9393714656531008,86,90,64,0.02277781200064055,0.0006508490005217027,0.0001790469996194588,,,
