dataset,Auto-DMC-AC,CART,Logistic,BernoulliNB,RandomForest
Anneal,95.21,99.44,98.89,96.43,98.67
Breast,93.99,94.13,93.56,93.42,94.28
Flare,66.59,82.15,83.80,74.94,82.29
Glass,63.51,64.50,71.86,71.93,76.71
Heart,52.46,53.77,55.74,54.11,56.45
Hepatitis,81.88,76.04,81.79,83.33,82.54
HorseColic,81.00,85.06,83.17,80.17,84.80
Ionosphere,92.02,88.90,91.75,90.89,92.90
Iris,94.67,94.00,94.00,94.00,94.00
Led7,74.75,74.91,75.19,75.37,75.13
LetRecog,68.83,77.21,69.78,57.49,82.06
Mushroom,99.82,100.00,100.00,98.90,100.00
PageBlocks,92.44,92.69,92.78,91.94,92.73
PenDigits,96.68,95.51,95.21,84.35,98.13
Pima,73.29,72.65,73.69,73.69,72.65
Mean,81.81,83.40,84.08,81.40,85.56
